#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-28T14:34:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
# https://vizier.u-strasbg.fr/viz-bin/VizieR-4
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ615326603ea099	
#INFO	-out.max=99999	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=99999
#-order=I
#-nav=cat:IV/22&tab:{IV/22/index}&key:source=IV/22/index&HTTPPRM:&&-ref=VIZ615326603ea099&-out.max=99999&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=IV/22/index&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=FK5&-out=RAJ2000&-out=pmRA&-out=DEJ2000&-out=pmDE&-out=Vmag&-out=Sp&-out=DM&-out=SAO&-out=HD&-out=name&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=IV/22/index
#-source=IV/22/index
#-out=FK5
#-out=RAJ2000
#-out=pmRA
#-out=DEJ2000
#-out=pmDE
#-out=Vmag
#-out=Sp
#-out=DM
#-out=SAO
#-out=HD
#-out=name
#

#RESOURCE=yCat_4022
#Name: IV/22
#Title: FK5 - SAO - HD - Common Name Cross Index (Smith 1996)
#Table	IV_22_index:
#Name: IV/22/index
#Title: The catalog
#Column	FK5	(I4)	The FK5 number (Cat. I/149, I/175) (2)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A12)	Right Ascension hours (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	pmRA	(F7.3)	Proper motion in right ascension	[ucd=pos.pm;pos.eq.ra]
#Column	DEJ2000	(A12)	Declination degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	pmDE	(F7.2)	Proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	Vmag	(F5.2)	Visual magnitude	[ucd=phot.mag;em.opt.V]
#Column	Sp	(A2)	Spectral type	[ucd=src.spType]
#Column	DM	(a10)	Durchmusterung Identification (1)	[ucd=meta.id]
#Column	SAO	(I6)	? SAO number (Cat. I/131) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	HD	(I6)	? HD number (Cat. III/135) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	name	(a20)	Common name or variable name	[ucd=meta.id]
FK5|RAJ2000|pmRA|DEJ2000|pmDE|Vmag|Sp|DM|SAO|HD|name
1088|03 09 36.737|  0.148|+29 04 37.48|  -1.35| 5.72|B9|BD+28  499| 75757| 19548|
 114|03 11 37.756|  1.074|+19 43 36.06|  -1.08| 4.35|K0|BD+19  477| 93328| 19787|
 118|03 12 33.150|  0.233|-57 19 17.83|   0.88| 5.74|N0|CP-57  513|233037| 20234|
 116|03 12 46.439|  1.306|-01 11 45.88|  -6.70| 5.06|F8|BD-01  457|130355| 19994|
1090|03 14 40.093|  0.305|-35 33 27.88|   1.22| 6.87|G0|CD-36 1218|194176| 20301|
1089|03 14 54.091| -0.199|+21 02 40.06|  -7.35| 4.89|A0|BD+20  527| 75810| 20150|
1091|03 15 50.023| -0.011|-08 49 11.03|   4.64| 4.80|A3|SD-09  624|130387| 20320|
1095|03 15 57.610|  3.332|-77 23 18.48|   6.09| 5.52|F2|CP-77  134|255973| 21024|
1092|03 16 55.076|  0.148|-31 21 07.92|  -3.19| 7.14|A0|CD-31 1305|194206| 20504|
1093|03 19 21.696|  1.811|+03 22 12.59|   9.20| 4.83|G5|BD+02  518|111120| 20630|
 119|03 19 55.669| 27.766|-43 04 11.29|  72.46| 4.27|G5|CD-43 1028|216263| 20794|82 G  ERIDANI
 115|03 20 19.742|  1.841|+77 44 05.18|  -6.05| 5.45|F0|BD+77  115|  4875| 19978|
1094|03 21 13.622|  0.177|+21 08 49.39|  -2.36| 5.28|B3|BD+20  543| 75886| 20756|
 120|03 24 19.365|  0.246|+49 51 40.34|  -2.46| 1.79|F5|BD+49  917| 38787| 20902|MIRFAK
1096|03 24 40.542| -0.083|+64 35 09.65|   0.06| 5.23|K2|BD+64  391| 12743| 20797|
 121|03 24 48.800| -0.445|+09 01 43.87|  -7.80| 3.60|G5|BD+08  511|111172| 21120|
 123|03 27 10.158|  0.405|+09 43 57.73|  -3.89| 3.74|B8|BD+09  439|111195| 21364|
 122|03 29 04.132| -0.034|+59 56 25.07|  -0.36| 4.21|B9|BD+59  660| 24054| 21291|
 126|03 29 22.678|  5.613|-62 56 15.09|  37.23| 4.72|F5|CP-63  234|248819| 22001|
 124|03 30 34.486|  0.044|+47 59 42.89|   1.97| 4.36|K0|BD+47  843| 38890| 21552|
1097|03 30 37.052|  0.097|-05 04 30.50|   0.68| 4.73|B9|SD-05  674|130528| 21790|
 125|03 30 52.382|  0.134|+12 56 12.03|  -0.17| 4.11|K0|BD+12  486| 93469| 21754|
1636|03 32 20.108|  4.702|+84 54 39.79| -13.60| 5.61|K0|BD+84   59|   550| 20084|
 128|03 32 34.810|  1.016|-50 22 43.33|   7.94| 5.68|K0|CD-50 1071|233152| 22231|
1098|03 32 40.010| -0.080|+35 27 42.19|   0.10| 5.90|B3|BD+34  674| 56531| 21856|
 127|03 32 55.846| -6.580|-09 27 29.72|   2.10| 3.73|K0|SD-09  697|130564| 22049|
1099|03 33 47.281|  0.343|-21 37 58.38|  -2.67| 4.27|B8|SD-22  628|168634| 22203|
1100|03 36 17.405|  0.204|-17 28 01.44|  -0.99| 5.23|A0|BD-17  699|149063| 22470|
1101|03 36 52.376| -1.553|+00 24 05.89| -48.31| 4.28|G5|BD-00  572|111292| 22484|
 130|03 37 05.679| -0.048|-40 16 28.80|  -3.01| 4.58|K0|CD-40 1008|216405| 22663|
1102|03 38 47.683|  0.190|-27 56 35.04|   2.33| 6.01|A0|CD-28 1225|168701| 22789|
1103|03 40 46.304|  0.059|+25 19 46.23|  -1.52| 6.11|A0|BD+24  529| 76073| 22805|
 129|03 42 09.312| -0.289|+63 13 00.44|   1.67| 5.10|M0|BD+62  597| 12874| 22649|
 133|03 42 14.912|  0.067|-31 56 18.12|   1.40| 5.00|B5|CD-32 1430|194467| 23227|
 131|03 42 55.497|  0.280|+47 47 15.30|  -3.42| 3.01|B5|BD+47  876| 39053| 22928|
 135|03 43 14.903| -0.622|-09 45 48.25|  74.48| 3.54|K0|BD-10  728|130686| 23249|
 141|03 44 11.982|  4.903|-64 48 25.07|   7.59| 3.85|K0|CP-65  263|248877| 23817|
 137|03 44 30.503|  0.015|-01 09 47.24|  -0.71| 5.25|B8|BD-01  526|130698| 23363|
 136|03 44 52.532|  0.142|+24 06 48.01|  -4.61| 3.70|B5|BD+23  507| 76131| 23302|ELECTRA
 134|03 45 11.633| -0.130|+42 34 42.70|  -0.16| 3.77|F5|BD+42  815| 39078| 23230|
1104|03 45 40.434|  0.128|+06 02 59.98|  -1.27| 5.35|B3|BD+05  539|111400| 23466|
 140|03 46 50.889| -1.148|-23 14 58.97| -52.91| 4.23|F8|CD-23 1565|168827| 23754|
 146|03 47 14.318|  1.149|-74 14 20.27|  11.41| 3.24|M0|CP-74  276|256029| 24512|
 139|03 47 29.073|  0.136|+24 06 18.38|  -4.60| 2.87|B5|BD+23  541| 76199| 23630|ALCYONE
 142|03 49 09.739|  0.130|+24 03 12.24|  -4.67| 3.63|B8|BD+23  557| 76228| 23850|ATLAS
 143|03 49 27.257| -0.384|-36 12 00.78|  -5.13| 4.17|K0|CD-36 1467|194559| 24160|
 138|03 50 21.500|  0.346|+71 19 56.16|  -4.25| 4.63|A0|BD+70  259|  5006| 23401|
1107|03 53 08.364|  0.016|-06 38 01.46|  -0.32| 6.57|B9|SD-07  695|130796| 24446|
1106|03 53 10.040|  0.990|+17 19 37.45|  -3.04| 5.97|F0|BD+16  523| 93650| 24357|
1108|03 53 33.344|  0.328|-46 53 37.44|  -4.29| 5.93|K0|CD-47 1187|216540| 24706|
1105|03 53 43.276|  1.024|+57 58 30.45|  -9.61| 5.80|A0|BD+57  752| 24276| 24141|
 144|03 54 07.922|  0.045|+31 53 01.01|  -1.02| 2.85|B1|BD+31  666| 56799| 24398|ATIK
 147|03 57 51.227|  0.156|+40 00 36.72|  -2.58| 2.89|B1|BD+39  895| 56840| 24760|
 149|03 58 01.763|  0.420|-13 30 30.71| -11.14| 2.95|K5|BD-13  781|149283| 25025|ZAURAK
1109|03 58 42.908|  0.354|-57 06 08.66|   0.64| 6.05|F2|CP-57  606|233347| 25346|
1110|03 58 44.744|  0.147|-61 24 00.85|  -1.77| 4.56|M0|CP-61  290|248918| 25422|
 148|03 58 57.900|  0.017|+35 47 27.59|   0.01| 4.04|Q&|BD+35  775| 56856| 24912|MENKIB
 150|04 00 40.819| -0.043|+12 29 25.24|  -1.24| 3.47|B3|BD+12  539| 93719| 25204|
1114|04 00 43.666|  0.487|-71 10 00.37|   3.60| 6.58|A0|CP-71  234|256053| 25938|
1111|04 01 32.040|  0.168|-01 32 58.81|  -1.63| 5.28|B5|BD-01  572|130878| 25340|
 151|04 03 09.377|  0.035|+05 59 21.48|  -0.32| 3.91|A0|BD+05  581|111579| 25490|
1112|04 04 41.711|  0.647|+22 04 54.89|  -5.88| 4.36|K0|BD+21  585| 76430| 25604|
 153|04 05 37.447|  1.542|-27 39 06.47|   9.42| 5.59|A5|CD-27 1540|169110| 25945|
1113|04 06 35.035| -0.154|+50 21 04.58|  -3.60| 4.29|A0|BD+49 1101| 24412| 25642|
 152|04 08 39.685|  0.204|+47 42 45.09|  -3.05| 4.04|B3|BD+47  939| 39336| 25940|
1115|04 09 09.962|  0.738|+19 36 33.13|  -3.25| 5.50|G5|BD+19  672| 93785| 26162|
1116|04 10 49.856| -0.248|+26 28 51.36|  -3.64| 5.41|F0|BD+26  686| 76485| 26322|
 154|04 11 51.936|  0.069|-06 50 15.30|   8.17| 4.04|F2|SD-07  764|131019| 26574|BEID
 155|04 14 00.126|  0.419|-42 17 40.00| -20.85| 3.86|K0|CD-42 1425|216710| 26967|
 156|04 14 25.488|  0.647|-62 28 25.85|   4.49| 3.35|G5|CP-62  332|248969| 27256|
1117|04 14 53.854|  0.053|+48 24 33.60|  -1.76| 4.14|G0|BD+48 1063| 39404| 26630|
1118|04 15 32.060|  0.144|+08 53 32.42|  -2.38| 4.29|B3|BD+08  657|111696| 26912|
 157|04 16 01.601|  1.132|-51 29 11.93|  18.22| 4.25|F5|CD-51 1066|233457| 27290|
 166|04 17 59.149|  0.687|-80 12 50.49|   6.12| 5.69|K0|CP-80  116|258372| 28525|
 159|04 19 47.603|  0.799|+15 37 39.41|  -2.50| 3.65|K0|BD+15  612| 93868| 27371|
1119|04 20 09.074|  0.155|-16 26 14.34|  -1.33| 6.80|B9|BD-16  838|149554| 27528|
 158|04 20 24.640| -0.202|+34 34 00.27|  -0.54| 4.93|G5|BD+34  860| 57171| 27348|
 161|04 20 39.011|  0.180|-20 38 22.73|  -1.10| 5.38|A0|SD-20  831|169354| 27616|
 163|04 21 53.338|  1.320|-63 23 11.00|  17.28| 5.24|K0|CP-63  324|249009| 28093|
1658|04 22 50.891| -0.967|-82 53 56.74|   0.34| 6.76|A2|CP-83   91|258379| 29598|
 162|04 22 56.090|  0.747|+17 32 32.98|  -2.96| 3.76|K0|BD+17  712| 93897| 27697|
1120|04 23 40.847| -0.331|-03 44 43.74|  -5.69| 5.17|A2|SD-04  818|131176| 27861|
1121|04 24 02.213|  0.555|-34 01 00.76|   5.06| 3.96|K5|CD-34 1664|194984| 28028|
1123|04 28 32.115|  0.126|+01 22 50.88|  -2.08| 5.55|B8|BD+01  757|111845| 28375|
 164|04 28 36.997|  0.756|+19 10 49.46|  -3.77| 3.54|K0|BD+18  640| 93954| 28305|
1122|04 29 51.943|  0.239|+69 22 42.00|  -3.46| 6.65|K0|BD+69  258| 13157| 27932|
 167|04 30 50.116|  0.064|-44 57 13.67|  -0.75| 5.07|B3|CD-45 1567|216850| 28873|
 165|04 32 01.832| -0.001|+53 54 39.03|  -0.29| 5.77|B1|BD+53  779| 24672| 28446|
1124|04 33 24.897|  0.035|+43 03 49.99|   0.41| 6.09|F0|BD+42  990| 39604| 28704|
1125|04 33 50.914|  0.708|+14 50 39.82|  -2.66| 4.65|A5|BD+14  720| 94007| 28910|
 171|04 33 59.781|  0.599|-55 02 42.21|  -0.35| 3.27|A0|CP-55  663|233564| 29305|
 908|04 35 24.132|  1.368|+85 31 37.51|   2.46| 6.56|F8|BD+85   63|   695| 26367|
 170|04 35 33.044| -0.352|-30 33 44.42|  -1.23| 3.82|K0|CD-30 1901|195148| 29291|
 168|04 35 55.237|  0.439|+16 30 33.39| -18.97| 0.85|K5|BD+16  629| 94027| 29139|ALDEBARAN
 169|04 36 19.138|  0.013|-03 21 08.89|  -0.52| 3.93|B2|SD-03  834|131346| 29248|
 172|04 38 10.809| -0.519|-14 18 14.13| -15.56| 3.87|K0|BD-14  933|149781| 29503|
1127|04 40 06.808| -0.492|-24 28 56.51|   1.83| 5.58|K0|CD-24 2488|169650| 29737|
1129|04 40 33.708| -1.259|-41 51 49.73|  -7.70| 4.45|F2|CD-42 1587|216926| 29875|
1126|04 41 19.753|  0.262|+28 36 53.94|  -3.04| 5.78|A0|BD+28  680| 76707| 29646|
1130|04 42 03.482|  0.408|-37 08 39.69|  19.33| 5.05|F5|CD-37 1867|195239| 29992|
 174|04 42 14.703| -0.013|+22 57 24.89|  -1.63| 4.28|B5|BD+22  739| 76721| 29763|
 177|04 43 03.949|  0.164|-70 55 51.74|   3.35| 5.54|B9|CP-71  282|256122| 30612|
1128|04 43 21.594| -0.039|+49 58 25.64|  -1.62| 5.89|B8|BD+49 1230| 39702| 29721|
1131|04 44 05.315|  0.023|-08 30 13.05|  -0.18| 5.90|B5|SD-08  929|131451| 30076|
 176|04 45 30.146|  0.105|-03 15 16.75|  -1.34| 4.02|B5|SD-03  876|131468| 30211|
1132|04 46 25.770|  0.011|-28 05 14.91|   1.60| 6.19|A2|CD-28 1735|169752| 30422|
 175|04 48 00.267|  0.608|+56 45 25.93| -14.79| 5.34|A2|BD+56  973| 24829| 30121|
 173|04 48 50.327|  0.953|+75 56 28.36| -13.46| 6.06|F0|BD+75  189|  5309| 29678|
1134|04 49 50.414|  3.130|+06 57 40.54|   1.15| 3.19|F8|BD+06  762|112106| 30652|
1133|04 49 54.638| -0.320|+37 29 17.81|   3.98| 4.88|K2|BD+37  969| 57447| 30504|
 179|04 51 12.362| -0.009|+05 36 18.31|   0.06| 3.69|B3|BD+05  745|112142| 30836|
1135|04 51 22.458|  0.561|+18 50 23.42|  -3.49| 5.13|F0|BD+18  743| 94164| 30780|
1136|04 52 31.965|  0.002|+14 15 02.17|  -5.72| 4.74|M0|BD+14  777| 94176| 30959|
 178|04 54 03.016| -0.007|+66 20 33.64|   0.55| 4.29|B0|BD+66  358| 13298| 30614|
 180|04 54 15.089|  0.002|+02 26 26.34|  -0.03| 3.72|B3|BD+02  810|112197| 31237|
1138|04 55 11.166|  0.622|-74 56 12.78|   5.91| 5.47|K0|CP-75  290|256145| 32440|
 181|04 56 59.617|  0.027|+33 09 57.93|  -1.79| 2.69|K2|BD+32  855| 57522| 31398|
 917|04 58 50.857| -0.559|-82 28 13.86|   0.36| 5.85|K0|CP-82  106|258395| 34172|
 183|05 01 58.133| -0.006|+43 49 23.83|  -0.38| 2.90|F5|BD+43 1166| 39955| 31964|
1139|05 02 22.813| -0.014|-31 46 17.02|   8.20| 5.94|K0|CD-31 2163|195509| 32515|
1137|05 02 28.685|  0.076|+41 04 32.96|  -2.20| 3.75|K0|BD+40 1142| 39966| 32068|
 184|05 03 05.739|  0.470|+21 35 23.79|  -4.17| 4.64|A5|BD+21  751| 76920| 32301|
 182|05 03 25.089| -0.087|+60 26 32.04|  -1.60| 4.03|G0|BD+60  856| 13351| 31910|
1140|05 04 34.143|  0.110|+15 24 14.65|  -3.39| 4.68|B9|BD+15  732| 94290| 32549|
 187|05 04 58.022|  0.733|-49 34 40.22|  -0.31| 5.03|K5|CD-49 1562|217164| 33042|
 186|05 05 27.662|  0.180|-22 22 15.80|  -7.38| 3.19|K5|SD-22 1000|170051| 32887|
 189|05 05 30.650| -0.372|-57 28 21.92|  11.50| 4.72|F8|CP-57  735|233822| 33262|
 185|05 06 30.886|  0.259|+41 14 04.15|  -6.78| 3.17|B3|BD+41 1058| 40026| 32630|
1143|05 07 25.945|  0.092|-44 49 18.25|   1.14| 6.90|A0|CD-44 1873|217185| 33331|
 188|05 07 50.972| -0.633|-05 05 11.23|  -8.08| 2.79|A3|SD-05 1162|131794| 33111|CURSA
 190|05 09 08.783|  0.015|-08 45 14.78|  -0.39| 4.27|B2|SD-08 1040|131824| 33328|
1142|05 09 19.641|  0.430|+09 49 46.43|  -0.74| 5.43|A2|BD+09  743|112467| 33254|
1141|05 09 45.085|  0.411|+28 01 49.54|  -6.01| 6.01|A3|BD+27  232| 76990| 33204|
1144|05 12 55.886|  0.296|-16 12 19.97|  -2.59| 3.31|A0|BD-16 1072|150237| 33904|
 192|05 13 25.714| -0.154|+38 29 04.12|  -7.50| 4.86|A3|BD+38 1063| 57755| 33641|
 196|05 13 45.438|  0.329|-67 11 07.12|   3.56| 4.82|K0|CP-67  401|249225| 34649|
 194|05 14 32.268|  0.003|-08 12 05.98|  -0.13| 0.12|B8|SD-08 1063|131907| 34085|RIGEL
 193|05 16 41.353|  0.728|+45 59 52.90| -42.47| 0.08|G0|BD+45 1077| 40186| 34029|CAPELLA
 197|05 17 29.079|  0.730|-34 53 42.88| -33.66| 4.83|K0|CD-35 2214|195721| 34642|
 195|05 17 36.388| -0.101|-06 50 39.86|  -0.82| 3.60|B5|SD-07 1028|131952| 34503|
1145|05 19 08.470|  4.525|+40 05 56.61| -66.44| 4.71|G0|BD+39 1248| 40233| 34411|
 199|05 19 22.142|  0.290|-50 36 21.65|  22.42| 5.45|F8|CD-50 1723|233926| 35072|
 198|05 19 23.692| -0.001|-27 22 08.09|  -1.03| 5.99|A0|CD-27 2204|170311| 34868|
1146|05 19 34.518| -0.010|-13 10 36.47|  -0.32| 4.29|B1|BD-13 1127|150340| 34816|
1147|05 21 45.743| -0.002|-00 22 57.07|  -0.10| 4.73|B3|BD-00  930|132028| 35039|
 191|05 22 33.474| -2.913|+79 13 52.08|  16.07| 5.05|F8|BD+79  169|  5496| 33564|
 201|05 25 07.857| -0.059|+06 20 58.74|  -1.39| 1.64|B2|BD+06  919|112740| 35468|BELLATRIX
 202|05 26 17.511|  0.169|+28 36 26.67| -17.51| 1.65|B8|BD+28  795| 77168| 35497|ELNATH
1149|05 27 05.327|  0.100|-40 56 36.92|   9.60| 5.87|A2|CD-41 1884|217340| 36060|
1148|05 27 10.085|  0.037|+17 57 43.86|  -2.19| 5.42|B3|BD+17  928| 94554| 35671|
 204|05 28 14.720| -0.031|-20 45 34.09|  -8.86| 2.84|G0|SD-20 1096|170457| 36079|NIHAL
1152|05 30 09.490|  0.244|-47 04 39.76| -13.73| 5.46|G5|CD-47 1884|217368| 36553|
 203|05 30 10.206| -0.087|+63 04 02.04|  -0.52| 5.42|K5|BD+62  759| 13518| 35583|
1659|05 30 13.883| -0.570|-84 47 06.39|   4.61| 6.20|A0|CP-84   75|258418| 39780|
1637|05 31 48.047|  1.264|+85 56 18.53|  -7.90| 6.51|A5|BD+85   74|   843| 32196|
 214|05 31 52.935|  3.140|-76 20 27.65|  28.27| 5.19|K0|CP-76  333|256201| 37763|
 206|05 32 00.398|  0.010|-00 17 56.88|  -0.22| 2.23|B0|BD-00  983|132220| 36486|MINTAKA
1150|05 32 33.811|  1.389|+57 13 16.04| -22.25| 6.48|G0|BD+57  889| 25241| 36066|
1151|05 32 43.673| -0.012|+32 11 31.29|  -0.32| 4.76|B1|BD+32 1024| 58164| 36371|
 207|05 32 43.802|  0.007|-17 49 20.26|   0.19| 2.58|F0|BD-17 1166|150547| 36673|ARNEB
 212|05 33 37.514|  0.026|-62 29 23.48|   0.89| 3.48|F5|CP-62  487|249311| 37350|
 208|05 34 49.239|  0.015|+09 29 22.35|  -0.36| 4.41|B0|BD+09  877|112914| 36822|
 209|05 35 25.974|  0.000|-05 54 35.61|   0.11| 2.77|Q&|SD-06 1241|132323| 37043|
 210|05 36 12.809|  0.006|-01 12 07.02|  -0.24| 1.70|B0|BD-01  969|132346| 37128|ALNILAM
 211|05 37 38.681|  0.002|+21 08 33.06|  -2.10| 3.00|B3|BD+21  908| 77336| 37202|
1153|05 38 06.919|  0.007|-27 12 38.81|  -0.20| 6.53|K2|CD-27 2395|170618| 37530|
 215|05 39 38.947|  0.053|-34 04 27.01|  -2.62| 2.64|B5|CD-34 2375|196059| 37795|PHACT
 205|05 39 43.704| -0.204|+75 02 37.88|   2.54| 6.17|K5|BD+74  252|  5593| 36384|
1660|05 39 59.240| -1.938|-85 54 51.57|   0.69| 6.79|K0|CP-85   77|258427| 42556|
 217|05 44 27.784| -2.114|-22 26 54.31| -36.98| 3.60|F8|SD-22 1211|170759| 38393|
1154|05 44 46.369| -0.495|-65 44 07.95|   0.80| 4.35|A5|CP-65  496|249346| 39014|
 216|05 45 54.038| -0.103|+49 49 34.69|   0.09| 5.47|A0|BD+49 1398| 40583| 38104|
 219|05 46 57.332| -0.109|-14 49 19.12|  -0.06| 3.55|A2|BD-14 1232|150801| 38678|
 218|05 47 26.188| -0.034|+17 43 44.76|  -0.60| 5.49|F0|BD+17 1004| 94858| 38558|
 220|05 47 45.387|  0.013|-09 40 10.75|  -0.24| 2.06|B0|SD-09 1235|132542| 38771|SAIPH
1155|05 48 34.937|  0.413|-04 05 40.53| -22.49| 5.97|G5|SD-04 1244|132554| 38858|
1156|05 49 49.654|  0.993|-56 10 00.10|  -7.59| 4.51|K0|CP-56  946|234154| 39523|
1159|05 50 53.228|  0.066|-52 06 32.12|  -7.78| 5.17|K0|CP-55  794|234169| 39640|
 223|05 50 57.594|  0.481|-35 46 06.19|  40.13| 3.12|K0|CD-35 2546|196240| 39425|WAZN
 222|05 51 19.286|  1.623|-20 52 44.89| -64.89| 3.81|K0|SD-20 1211|170926| 39364|
 221|05 51 29.388| -0.041|+39 08 54.56|   0.71| 3.97|K0|BD+39 1429| 58502| 39003|
1158|05 53 19.646|  0.022|+27 36 43.94|  -1.23| 4.58|A0|BD+27  899| 77675| 39357|
1157|05 54 50.769| -0.155|+55 42 25.15|   2.02| 4.99|A2|BD+55 1027| 25450| 39283|
 224|05 55 10.307|  0.173|+07 24 25.35|   0.87| 0.40|M0|BD+07 1055|113271| 39801|BETELGEUSE
 226|05 56 24.288| -0.286|-14 10 03.87|  13.93| 3.71|F0|BD-14 1286|150957| 40136|
1160|05 57 32.211| -0.002|-35 16 59.91|   0.93| 4.36|B3|CD-35 2612|196352| 40494|
1161|05 58 49.570| -0.087|+00 33 10.66|   0.22| 5.22|A0|BD+00 1239|113321| 40446|
 229|05 59 08.806|  0.200|-42 48 54.83|  -1.44| 3.96|K0|CD-42 2266|217650| 40808|
 225|05 59 31.632|  0.926|+54 17 04.95| -12.54| 3.72|K0|BD+54  970| 25502| 40035|
 227|05 59 31.720| -0.541|+44 56 50.78|   0.03| 1.90|A0|BD+44 1328| 40750| 40183|MENKALINAN
1162|06 00 14.416| -0.056|+33 08 12.96|  -0.03| 6.89|A2|BD+33 1209| 58645| 40439|
1638|06 01 20.177|  0.856|+85 10 55.81|   0.01| 6.11|K0|BD+85   80|   914| 36905|
1163|06 04 07.205| -0.060|+23 15 48.16| -10.01| 4.16|G5|BD+23 1170| 77915| 41116|
 231|06 04 28.443| -0.757|-45 02 11.94|  24.35| 6.35|F8|CD-45 2302|217702| 41700|
 230|06 04 58.352| -0.009|+04 09 31.05|  -0.47| 5.63|K0|BD+04 1116|113430| 41380|
1164|06 06 05.539|  0.098|-29 45 31.05|  -4.10| 5.81|A0|CD-29 2769|171231| 41843|
 232|06 07 34.322|  0.041|+14 46 06.40|  -2.13| 4.42|B2|BD+14 1152| 95259| 41753|
1166|06 08 44.242| -0.968|-68 50 36.40|   1.76| 5.06|B9|CP-68  474|249461| 43107|
1165|06 08 57.864|  0.018|-22 25 38.58|  -3.92| 5.50|A0|SD-22 1327|171293| 42301|
 239|06 10 14.436|  2.979|-74 45 11.05| -21.29| 5.09|K0|CP-74  374|256274| 43834|
 235|06 10 17.898| -0.039|-54 58 07.23|   0.48| 4.81|B1|CP-54  980|234359| 42933|
 233|06 12 51.061|  0.091|+65 43 06.33|  -3.28| 5.32|K0|BD+65  517| 13756| 41927|
1168|06 15 22.687| -0.562|+29 29 52.95| -26.22| 4.35|K0|BD+29 1154| 78143| 43039|
1167|06 15 39.013| -0.535|+36 08 55.12|   0.34| 6.92|F0|BD+36 1388| 58905| 43017|
1169|06 16 26.617|  0.557|+12 16 19.71|  18.57| 5.04|F5|BD+12 1084| 95476| 43386|
 238|06 16 33.125| -0.002|-35 08 26.01|   8.59| 4.37|K0|CD-35 2805|196643| 43785|
 234|06 18 50.787|  0.031|+69 19 11.27| -10.73| 4.80|A0|BD+69  371| 13788| 42818|
 237|06 19 37.382| -0.106|+59 00 39.49|   2.63| 4.48|A0|BD+59  959| 25665| 43378|
1170|06 19 42.794| -0.029|-07 49 22.57|   0.00| 5.27|B3|SD-07 1373|133114| 44112|
 240|06 20 18.792|  0.072|-30 03 48.26|   0.27| 3.02|B3|CD-30 3088|196698| 44402|FURUD
 243|06 22 41.969| -0.044|-17 57 21.37|   0.03| 1.98|B1|BD-17 1467|151428| 44743|MIRZAM
 241|06 22 57.621|  0.391|+22 30 48.79| -11.10| 2.88|M0|BD+22 1304| 78297| 44478|
 244|06 23 46.084| -0.120|+04 35 34.24|   1.09| 4.44|A5|BD+04 1236|113810| 44769|
 245|06 23 57.119|  0.245|-52 41 44.50|   2.07|-0.72|F0|CP-52  914|234480| 45348|CANOPUS
1171|06 24 10.321| -0.370|-11 31 48.50|  -3.45| 5.22|K0|BD-11 1478|151458| 44951|
 242|06 24 53.892| -0.020|+49 17 16.53|  -0.07| 4.91|K2|BD+49 1488| 41076| 44537|
1172|06 26 21.600| -0.034|+41 57 34.21|  -0.42| 7.05|G5|BD+42 1552| 41099| 44901|
1662|06 26 47.779|  0.384|-88 44 37.26|   1.77| 7.38|A0|CP-88   68|258465| 65322|
 246|06 27 57.563| -0.036|-04 45 43.70|  -0.07| 5.06|B3|SD-04 1526|133290| 45546|
1173|06 28 57.781| -0.052|+20 12 43.56|  -1.40| 4.15|B5|BD+20 1441| 78423| 45542|
1174|06 32 54.230| -0.008|+07 19 58.58|  -0.59| 4.50|A0|BD+07 1337|114034| 46300|
1175|06 33 37.908| -0.019|-01 13 12.78|  -2.14| 5.10|B3|BD-01 1274|133404| 46487|
 249|06 35 03.372|  0.083|-22 57 53.36|   1.60| 4.54|A0|SD-22 1458|171982| 46933|
 247|06 37 41.386| -2.914|+61 28 52.42| -27.42| 5.94|G0|BD+61  893| 13897| 46480|
 251|06 37 42.725|  0.293|+16 23 57.43|  -4.16| 1.93|A0|BD+16 1223| 95912| 47105|ALHENA
 252|06 37 45.673|  0.020|-43 11 45.50|  -0.62| 3.17|B8|CD-43 2576|218071| 47670|
 250|06 38 39.536| -0.202|+39 23 27.01| -10.86| 5.69|K0|BD+39 1690| 59316| 47070|
 264|06 40 02.728| -0.666|-80 48 48.84|   5.50| 5.64|A2|CP-80  196|258451| 50506|
 254|06 43 55.923| -0.041|+25 07 51.91|  -1.34| 2.98|G5|BD+25 1406| 78682| 48329|MEBSUTA
 257|06 45 08.871| -3.847|-16 42 57.99|-120.53|-1.46|A0|BD-16 1591|151881| 48915|SIRIUS
